show_id,title,year released,certificate,duration_min,genre,rating,description,stars,votes
S1363,Nick Thune: Folk Hero,2014,Not Rated,43,Short,6.7,"With help from his guitars, comedian Nick Thune regales the audience of Brooklyn's Bell Theatre with a collection of hilarious stories about his childhood, past romantic relationships and his experience with a burning building.",['Nick Thune'],110
S1364,Sharknado 2: The Second One,2014,TV-14,95,Action,4,"Fin and April are on their way to New York City, until a category seven hurricane spawns heavy rain, storm surges, and deadly Sharknadoes.","['Anthony C. Ferrante', '| ', '    Stars:', 'Ian Ziering, ', 'Tara Reid, ', 'Vivica A. Fox, ', 'Mark McGrath']","19,381"
S1365,The 100,2014,TV-14,41,Drama,4.8,The red sun derails Clarke's plans.,"['Michael Cliett', '| ', '    Stars:', 'Eliza Taylor, ', 'Bob Morley, ', 'Marie Avgeropoulos, ', 'Lindsey Morgan']","4,740"
S1366,Zapped,2014,TV-G,102,Comedy,5,"When Zoey's mom remarries, Zoey finds it hard adjusting to her new life - no longer the only kid in the family.","['Peter DeLuise', '| ', '    Stars:', 'Zendaya, ', 'Chanelle Peloso, ', 'Spencer Boldman, ', 'Emilia McCarthy']","5,519"
S1367,Space Racers,2014,TV-Y,22,Animation,7.4,"Join the students at Stardust Space Academy, while they go on missions to learn new facts while having fun. With engaging and fun characters the leader of the Space Racers, and Hawk.","['Rick Zieff, ', ""Joey D'Auria, "", 'Yuri Lowenthal, ', 'Phil Lollar']",82
S1368,The Flash,2014,TV-PG,42,Action,7,"After months of searching for Sue Dearbon, Ralph gets a lead on her whereabouts and finally comes face to face with his missing client. However, Sue refuses to return home to her family, ...                See full summary »","['Chris Peppe', '| ', '    Stars:', 'Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","1,582"
S1369,The Missing,2014,TV-14,60,Crime,8.2,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,"['Tchéky Karyo, ', 'Anastasia Hille, ', 'James Nesbitt, ', ""Frances O'Connor""]","26,870"
S1370,The Flash,2014,TV-PG,42,Action,7.5,"Feeling overwhelmed with all the changes since Crisis, Barry conducts an experiment that goes awry and puts him directly in Gorilla Grodd's path; Iris works with Eva to escape the Mirrorverse.","['Stefan Pleszczynski', '| ', '    Stars:', 'Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","1,574"
S1371,Killswitch,2014,Not Rated,72,Documentary,7.7,"The Internet is under attack. This award-winning documentary explores the threat Internet censorship imposes on free speech, innovation, and democracy.","['Ali Akbarzadeh', '| ', '    Stars:', 'Lawrence Lessig, ', 'Tim Wu, ', 'Peter Ludlow']",638
S1372,6-5=2,2014,Unrated,104,Horror,4.4,"Six friends decide to undertake a gruelling mountain trek, only to find that the difficulties in store for them are not merely physical. They experience strange and unusual incidents which put their lives at risk.","['Bharat Jain', '| ', '    Stars:', 'Prashantt Guptha, ', 'Gaurav Paswala, ', 'Gaurav Kothari, ', 'Disha Kapoor']",205
S1373,Tiny House Nation,2014,TV-PG,40,Reality-TV,7.3,"John and Zack take on a rescue mission in Atlanta, Georgia for Peter and Elizabeth, a couple that is attempting to build their own tiny house. Not only is the couple struggling to finish ...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",42
S1374,Tiny House Nation,2014,TV-PG,41,Reality-TV,3.6,"John and Zack head to Indiana to help a contractor, Jim, repair a broken relationship with his daughter Stephanie by giving her the tiny house of her dreams. Stephanie insists she wants to ...                See full summary »","['John Weisbarth, ', 'Zack Giffin, ', 'Jim Barber, ', 'Stephanie Barber']",61
S1375,The 100,2014,TV-14,42,Drama,6.1,Clarke and her friends reckon with all that has happened only to find an unexpected threat looming.,"['Jessica Harmon', '| ', '    Stars:', 'Eliza Taylor, ', 'Marie Avgeropoulos, ', 'Lindsey Morgan, ', 'Richard Harmon']","2,527"
S1376,Tiny House Nation,2014,TV-PG,41,Reality-TV,7.1,"John and Zack travel to sunny Orlando, Florida where high school basketball coach Dave and his wife Mickie, are going tiny so they'll have more money to pay their daughter's college tuition...                See full summary »","['John Weisbarth, ', 'Zack Giffin, ', 'Jonathan Cheatham, ', 'Mike Cheatham']",26
S1377,Tiny House Nation,2014,TV-PG,41,Reality-TV,7.1,"Empty nesters Phil and Karen are being forced out of their beloved rental home, and going tiny is their only chance at home ownership. John and Zack are confident that they can build a tiny...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",25
S1378,Talking Tom and Friends,2014,TV-G,11,Animation,5.8,"Armed with tech gear, awesome ideas, and an unfailing sense of humor, Talking Tom and Friends are on a mission to make their dreams come true. Although things never entirely turn out the way they plan, this incredible group is destined to warm hearts - and break a funny bone or two - along the way.","['Tom Kenny, ', 'Colin Hanks, ', 'James Adomian, ', 'Lisa Schwartz']",475
S1379,Tiny House Nation,2014,TV-PG,40,Reality-TV,7.3,Zack and John are in cowboy country as they set out to help a family of four who are preparing to move out of their large house near Dallas and into a tiny house. First-time homeowners Tony...                See full summary »,"['John Weisbarth, ', 'Zack Giffin']",26
S1380,Misfire,2014,Not Rated,90,Action,3.1,"Hardened DEA agent, Cole, descends into the dangerous underworld of Tijuana, Mexico in search of his journalist ex-wife who he believes has been abducted by a charismatic Cartel boss with aspirations for public office.","['R. Ellis Frazier', '| ', '    Stars:', 'Gary Daniels, ', 'Vannessa Vasquez, ', 'Michael Greco, ', 'Luis Gatica']",796
S1381,Sun Belt Express,2014,Unrated,91,Comedy,6.2,A down-on-his-luck ethics professor ends up on a completely unhinged run across the Mexican border with his teenage daughter in tow - and four undocumented immigrants in the trunk.,"['Evan Buxbaum', '| ', '    Stars:', 'Brett Aresco, ', 'Oscar Avila, ', 'Robert Buxbaum, ', 'Arturo Castro']",380
S1382,Dirilis: Ertugrul,2014,TV-14,120,Action,7.9,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.","['Engin Altan Düzyatan, ', 'Hülya Darcan, ', 'Cengiz Coskun, ', 'Nurettin Sönmez']","36,678"
S1383,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,Comedy,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","['Alejandro G. Iñárritu', '| ', '    Stars:', 'Michael Keaton, ', 'Zach Galifianakis, ', 'Edward Norton, ', 'Andrea Riseborough']","626,026"
S1384,Tiny House Nation,2014,TV-PG,41,Reality-TV,6.2,John and Zack head to Tennessee to help an aspiring musician and his growing family as they relocate and downsize into a tiny home at the same time. When the homeowners have two young ...                See full summary »,"['John Weisbarth, ', 'Zack Giffin, ', 'Mike Bedsole, ', 'Arolina Richards']",40
S1385,Tiny House Nation,2014,TV-PG,41,Reality-TV,7.8,"Zack and John head to Mississippi to help a couple of high school sweet hearts go tiny. Tommy and Tierra are both nurses, and they're looking forward to simplifying their lives in a tiny ...                See full summary »","['John Weisbarth, ', 'Zack Giffin, ', 'James Brewer']",22
S1386,Death Clique,2014,TV-PG,83,Crime,5.4,A jealous rivalry between three high school girls leads to a shocking crime.,"['Doug Campbell', '| ', '    Stars:', 'Barbara Alyn Woods, ', 'Tina Ivlev, ', 'Lexi Ainsworth, ', 'Brittany Underwood']","1,352"
S1387,Meet the Mormons,2014,PG,78,Documentary,6.4,"Meet the Mormons examines the very diverse lives of six devout members of the Church of Jesus Christ of Latter-day Saints. Filmed on location and across the globe, Meet the Mormons takes ...                See full summary »","['Blair Treu', '| ', '    Stars:', 'Jermaine Sullivan, ', 'Ken Niumatalolo, ', 'Carolina Muñoz Marin, ', 'Bishnu Adhikari']","2,011"
S1388,Tiny House Nation,2014,TV-PG,40,Reality-TV,7.8,"John and Zack head north to Coeur d'Alene, Idaho, where Army veteran Newt and his wife Brooke are building a tiny home on wheels with plans to travel the country after Newt completes his sixth and final deployment.","['John Weisbarth, ', 'Zack Giffin, ', 'Brooke Hau, ', 'Newt Hau']",30
S1389,The Irregular at Magic High School,2014,TV-14,22,Animation,7.1,Siblings Miyuki and Tatsuya Shiba are turning the National Magic University Affiliated First High School campus upside down.,"['Yûichi Nakamura, ', 'Saori Hayami, ', 'Yumi Uchiyama, ', 'Kana Hanazawa']","3,455"
S1390,When Calls the Heart,2014,TV-G,43,Drama,7.9,"Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.","['Erin Krakow, ', 'Martin Cummins, ', 'Pascale Hutton, ', 'Jack Wagner']","13,133"
S1391,Henry Danger,2014,TV-G,30,Action,5.6,"Looking for a part-time job, 13-year-old Henry Hart lands the post of sidekick of superhero Captain Man, but he must keep this a secret from his family and friends.","['Jace Norman, ', 'Cooper Barnes, ', 'Riele Downs, ', 'Sean Ryan Fox']","5,633"
S1392,Haikyu!!,2014,TV-14,24,Animation,8.7,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","['Ayumu Murase, ', 'Kaito Ishikawa, ', 'Yu Hayashi, ', 'Satoshi Hino']","24,721"
S1393,Iron Man and Captain America: Heroes United,2014,PG,71,Animation,5.5,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.","['Eric Radomski, ', 'Leo Riley', '| ', '    Stars:', 'Adrian Pasdar, ', 'Roger Craig Smith, ', 'Fred Tatasciore, ', 'David Kaye']","1,788"
S1394,Transformers: Robots in Disguise,2014,TV-Y7,22,Animation,5.9,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.","['Khary Payton, ', 'Mitchell Whitfield, ', 'Will Friedle, ', 'Constance Zimmer']","1,091"
S1395,Noah,2014,PG-13,138,Action,5.8,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"['Darren Aronofsky', '| ', '    Stars:', 'Russell Crowe, ', 'Jennifer Connelly, ', 'Anthony Hopkins, ', 'Emma Watson']","255,168"
