title,year released,certificate,duration,genre,rating,votes
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.9,201
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.8,220
Top Gear,2002,TV-PG,54 min,"Adventure, Comedy, Reality-TV",7.9,229
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",8.2,227
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",8.4,394
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.8,220
Ghost in the Shell: Stand Alone Complex,2002,TV-MA,24 min,"Animation, Action, Crime",8.5,"19,764"
Lilo & Stitch,2002,PG,85 min,"Animation, Adventure, Comedy",7.3,"190,010"
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.8,227
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",8.6,272
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.8,205
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",8.2,228
Top Gear,2002,TV-PG,46 min,"Adventure, Comedy, Reality-TV",7.7,222
Spy Kids 2: Island of Lost Dreams,2002,PG,100 min,"Action, Adventure, Comedy",5.2,"67,870"
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.7,223
Top Gear,2002,TV-PG,56 min,"Adventure, Comedy, Reality-TV",7.7,220
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.9,220
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",8.1,216
Top Gear,2002,TV-PG,61 min,"Adventure, Comedy, Reality-TV",8.2,227
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.8,198
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.9,218
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.6,225
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.9,213
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.8,198
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",8.0,229
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",8.0,200
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.8,203
A Walk to Remember,2002,PG,101 min,"Drama, Romance",7.3,"211,211"
The Cat Returns,2002,G,75 min,"Animation, Adventure, Comedy",7.2,"56,870"
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.7,198
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.8,202
Top Gear,2002,TV-PG,50 min,"Adventure, Comedy, Reality-TV",8.3,244
Top Gear,2002,TV-MA,60 min,"Adventure, Comedy, Reality-TV",7.8,209
