title,year released,certificate,duration_min,genre ,rating,votes,age
Top Gear,2002,TV-PG,65,Adventure,7.2,223,20
Top Gear,2002,TV-PG,50,Adventure,7.7,204,20
Top Gear,2002,TV-PG,53,Adventure,7.9,208,20
Top Gear,2002,TV-PG,60,Adventure,7.9,221,20
Top Gear,2002,TV-PG,53,Adventure,8,215,20
Eye See You,2002,R,96,Crime,5.3,"27,280",20
Top Gear,2002,TV-PG,51,Adventure,7.8,210,20
Walking on Water,2002,Not Rated,90,Drama,6.5,477,20
Top Gear,2002,TV-PG,58,Adventure,7.7,226,20
Top Gear,2002,TV-PG,61,Adventure,7.9,231,20
Top Gear,2002,TV-PG,53,Adventure,7.7,222,20
Top Gear,2002,TV-PG,59,Adventure,8.2,261,20
Top Gear,2002,TV-PG,59,Adventure,7.9,201,20
Top Gear,2002,TV-PG,59,Adventure,7.8,220,20
Top Gear,2002,TV-PG,54,Adventure,7.9,229,20
Top Gear,2002,TV-PG,59,Adventure,8.2,227,20
Top Gear,2002,TV-PG,60,Adventure,8.4,394,20
Top Gear,2002,TV-PG,60,Adventure,7.8,220,20
Ghost in the Shell: Stand Alone Complex,2002,TV-MA,24,Animation,8.5,"19,764",20
Lilo & Stitch,2002,PG,85,Animation,7.3,"190,010",20
Top Gear,2002,TV-PG,59,Adventure,7.8,227,20
Top Gear,2002,TV-PG,60,Adventure,8.6,272,20
Top Gear,2002,TV-PG,60,Adventure,7.8,205,20
Top Gear,2002,TV-PG,60,Adventure,8.2,228,20
Top Gear,2002,TV-PG,46,Adventure,7.7,222,20
Spy Kids 2: Island of Lost Dreams,2002,PG,100,Action,5.2,"67,870",20
Top Gear,2002,TV-PG,53,Adventure,7.7,223,20
Top Gear,2002,TV-PG,56,Adventure,7.7,220,20
Top Gear,2002,TV-PG,59,Adventure,7.9,220,20
Top Gear,2002,TV-PG,60,Adventure,8.1,216,20
Top Gear,2002,TV-PG,61,Adventure,8.2,227,20
Top Gear,2002,TV-PG,59,Adventure,7.8,198,20
Top Gear,2002,TV-PG,59,Adventure,7.9,218,20
Top Gear,2002,TV-PG,53,Adventure,7.6,225,20
Top Gear,2002,TV-PG,59,Adventure,7.9,213,20
Top Gear,2002,TV-PG,60,Adventure,7.8,198,20
Top Gear,2002,TV-PG,59,Adventure,8,229,20
Top Gear,2002,TV-PG,59,Adventure,8,200,20
Top Gear,2002,TV-PG,59,Adventure,7.8,203,20
A Walk to Remember,2002,PG,101,Drama,7.3,"211,211",20
The Cat Returns,2002,G,75,Animation,7.2,"56,870",20
Top Gear,2002,TV-PG,59,Adventure,7.7,198,20
Top Gear,2002,TV-PG,60,Adventure,7.8,202,20
Top Gear,2002,TV-PG,50,Adventure,8.3,244,20
Top Gear,2002,TV-MA,60,Adventure,7.8,209,20
Top Gear,2002,TV-14,60,Adventure,8,218,20
Top Gear,2002,TV-PG,58,Adventure,7.8,204,20
Top Gear,2002,TV-PG,60,Adventure,7.9,201,20
Top Gear,2002,TV-PG,58,Adventure,8.2,227,20
Top Gear,2002,TV-PG,60,Adventure,8.3,227,20
Top Gear,2002,TV-PG,60,Adventure,7.9,201,20
Top Gear,2002,TV-PG,60,Adventure,8.7,"118,264",20
Top Gear,2002,TV-PG,54,Adventure,8.3,253,20
Feedback,2002,R,88,Sci-Fi,4.8,275,20
The Lord of the Rings: The Two Towers,2002,PG-13,179,Action,8.8,"1,642,708",20
Top Gear,2002,TV-PG,59,Adventure,4.5,330,20
Wilbur Wants to Kill Himself,2002,R,109,Comedy,6.8,"7,890",20
Top Gear,2002,TV-PG,51,Adventure,8.4,251,20
Taboo,2002,R,80,Drama,3.5,"1,906",20
Jonah: A VeggieTales Movie,2002,G,82,Animation,6.4,"4,260",20
Top Gear,2002,TV-14,61,Adventure,4.8,254,20
Top Gear,2002,TV-PG,61,Adventure,5.8,224,20
Top Gear,2002,TV-PG,52,Adventure,9,852,20
Pitaah,2002,Not Rated,126,Action,6.4,722,20
Top Gear,2002,TV-PG,62,Adventure,5.4,367,20
Spider-Man,2002,PG-13,121,Action,7.4,"809,904",20
What's Up with Cinta?,2002,TV-14,112,Drama,7.7,"2,869",20
Naruto,2002,TV-PG,24,Animation,8.4,"99,442",20
Top Gear,2002,TV-PG,52,Adventure,9.1,630,20
Astro Boy,2003,TV-Y7,30,Animation,6.9,485,19
Kill Bill: Vol. 1,2003,R,111,Action,8.2,"1,103,348",19
Chappelle's Show,2003,TV-MA,22,Comedy,8.8,"64,313",19
Lara Croft Tomb Raider: The Cradle of Life,2003,PG-13,117,Action,5.5,"138,796",19
Spy Kids 3: Game Over,2003,PG,84,Action,4.3,"60,653",19
Once Upon a Time in Mexico,2003,R,102,Action,6.3,"162,527",19
Pasión de gavilanes,2003,TV-MA,60,Drama,7.8,"2,514",19
Sonic X,2003,TV-Y7,30,Animation,6.2,"4,772",19
The Mudge Boy,2003,R,94,Crime,7.1,"4,538",19
Little Britain,2003,TV-MA,29,Comedy,7.7,"24,385",19
Arrested Development,2003,TV-14,22,Comedy,8.7,"302,834",19
NCIS,2003,TV-14,60,Action,7.8,"145,895",19
The Lord of the Rings: The Return of the King,2003,PG-13,201,Action,9,"1,819,157",19
A Man Apart,2003,R,109,Action,6,"47,628",19
Code Lyoko,2003,TV-Y7,26,Animation,7.3,"5,245",19
NCIS,2003,TV-14,60,Action,7.8,"145,896",19
